1;1,00;;;;;;
2;2,00;;;;;;
3;3,00;;;;;;
4;4,00;;;;;;
5;5,00;;;;;;
6;6,00;;;;;;
7;7,00;;;;;;
8;8,00;;;;;;
9;9,00;;;;;;
10;10,00;;;;;;
11;11,00;;;;;;
12;12,00;;;;;;
13;13,00;;;;;;
14;14,00;;;;;;
15;15,00;;;;;;
16;16,00;;;;;;
17;17,00;;;;;;
18;18,00;;;;;;
19;19,00;;;;;;
20;20,00;;;;;;
21;21,00;;;;;;
22;22,00;;;;;;
23;23,00;;;;;;
24;24,00;;;;;;
25;25,00;;;;;;
26;26,00;;;;;;
27;27,00;;;;;;
28;28,00;;;;;;
29;29,00;;;;;;
30;30,00;;;;;;
31;31,00;;;;;;
33;33,00;;;;;;
34;34,00;;;;;;
35;35,00;;;;;;
36;36,00;;;;;;
37;37,00;;;;;;
38;38,00;;;;;;
39;39,00;;;;;;
40;40,00;;;;;;
41;41,00;;;;;;
42;42,00;;;;;;
43;43,00;;;;;;
44;44,00;;;;;;
45;45,00;;;;;;
46;46,00;;;;;;
47;47,00;;;;;;
48;48,00;;;;;;
49;49,00;;;;;;
50;50,00;;;;;;
51;51,00;;;;;;
52;52,00;;;;;;
53;53,00;;;;;;
54;54,00;;;;;;
55;55,00;;;;;;
56;56,00;;;;;;
57;57,00;;;;;;
58;58,00;;;;;;
59;59,00;;;;;;
60;60,00;;;;;;
62;62,00;;;;;;
63;63,00;;;;;;
64;64,00;;;;;;
65;65,00;;;;;;
66;66,00;;;;;;
